[0.001, 0.100, 0.999, 0.700]:3.659702788274946
[0.001, 0.100, 0.999, 0.800]:3.6548267452494665
[0.001, 0.100, 0.999, 0.900]:3.6500000000000004
[0.001, 0.100, 0.999, 0.999]:3.6452693526482562
[0.001, 0.200, 0.001, 0.001]:4.598061422303846
[0.001, 0.200, 0.001, 0.100]:4.579080808080809
[0.001, 0.200, 0.001, 0.200]:4.560289999999999
[0.001, 0.200, 0.001, 0.300]:4.541871287128712
[0.001, 0.200, 0.001, 0.400]:4.5238137254901964
[0.001, 0.200, 0.001, 0.500]:4.506106796116504
[0.001, 0.200, 0.001, 0.600]:4.488740384615384
[0.001, 0.200, 0.001, 0.700]:4.471704761904761
